Week,Week Start,Week End,Name,GitHub,Commits,Added,Deleted,PRs,Items Crtd (usr prj),Items Mvd (usr prj),Items Crtd (org prj),Items Mvd (org prj)
11,2026-03-23,2026-03-29,gshen1-SGZ,gshen1-SGZ,0,0,0,3,0,0,4,4
11,2026-03-23,2026-03-29,csabatino23,csabatino23,0,0,0,2,0,0,0,0
11,2026-03-23,2026-03-29,dylantomza,dylantomza,0,0,0,1,0,0,4,4
12,2026-03-30,2026-04-05,csabatino23,csabatino23,0,0,0,1,0,0,0,0
12,2026-03-30,2026-04-05,paolareyes-rgb,paolareyes-rgb,0,0,0,2,0,0,0,0
14,2026-04-13,2026-04-19,dylantomza,dylantomza,0,0,0,2,0,0,4,4
14,2026-04-13,2026-04-19,gshen1-SGZ,gshen1-SGZ,0,0,0,1,0,0,4,4
15,2026-04-20,2026-04-26,Twerr123,Twerr123,0,0,0,1,0,0,0,0
17,2026-05-04,2026-05-10,Twerr123,Twerr123,0,0,0,1,0,0,0,0
18,2026-05-11,2026-05-15,Twerr123,Twerr123,0,0,0,2,0,0,0,0
18,2026-05-11,2026-05-15,csabatino23,csabatino23,0,0,0,1,0,0,0,0
18,2026-05-11,2026-05-15,gshen1-SGZ,gshen1-SGZ,0,0,0,1,0,0,4,4
