Week,Week Start,Week End,Name,GitHub,Commits,Added,Deleted,PRs,Items Crtd (usr prj),Items Mvd (usr prj),Items Crtd (org prj),Items Mvd (org prj)
11,2026-03-23,2026-03-29,ypeng813,ypeng813,0,0,0,2,0,0,4,4
11,2026-03-23,2026-03-29,MaxConk,MaxConk,0,0,0,1,0,0,0,0
11,2026-03-23,2026-03-29,LKleva,LKleva,0,0,0,1,0,0,0,0
11,2026-03-23,2026-03-29,vlad-im,vlad-im,0,0,0,1,0,0,1,1
11,2026-03-23,2026-03-29,jantonacci-svg,jantonacci-svg,0,0,0,2,0,0,4,4
13,2026-04-06,2026-04-12,MaxConk,MaxConk,0,0,0,1,0,0,0,0
13,2026-04-06,2026-04-12,jantonacci-svg,jantonacci-svg,0,0,0,1,0,0,4,4
13,2026-04-06,2026-04-12,ypeng813,ypeng813,0,0,0,1,0,0,4,4
13,2026-04-06,2026-04-12,elikhovid,elikhovid,0,0,0,1,0,0,10,10
14,2026-04-13,2026-04-19,ypeng813,ypeng813,0,0,0,1,0,0,4,4
17,2026-05-04,2026-05-10,jantonacci-svg,jantonacci-svg,0,0,0,2,0,0,4,4
17,2026-05-04,2026-05-10,MaxConk,MaxConk,0,0,0,1,0,0,0,0
18,2026-05-11,2026-05-15,jantonacci-svg,jantonacci-svg,0,0,0,7,0,0,4,4
18,2026-05-11,2026-05-15,elikhovid,elikhovid,0,0,0,1,0,0,10,10
18,2026-05-11,2026-05-15,ypeng813,ypeng813,0,0,0,1,0,0,4,4
18,2026-05-11,2026-05-15,LKleva,LKleva,0,0,0,1,0,0,0,0
