Week,Week Start,Week End,Name,GitHub,Commits,Added,Deleted,PRs,Items Crtd (usr prj),Items Mvd (usr prj),Items Crtd (org prj),Items Mvd (org prj)
10,2026-03-16,2026-03-22,nakiwem,nakiwem,0,0,0,1,0,0,4,4
10,2026-03-16,2026-03-22,modestmag-dev,modestmag-dev,0,0,0,1,0,0,10,10
10,2026-03-16,2026-03-22,bjach04,bjach04,0,0,0,1,0,0,4,4
11,2026-03-23,2026-03-29,pwei454,pwei454,0,0,0,1,0,0,2,2
11,2026-03-23,2026-03-29,NguyenTin2026,NguyenTin2026,0,0,0,2,0,0,2,2
11,2026-03-23,2026-03-29,nakiwem,nakiwem,0,0,0,1,0,0,4,4
11,2026-03-23,2026-03-29,modestmag-dev,modestmag-dev,0,0,0,1,0,0,10,10
11,2026-03-23,2026-03-29,bjach04,bjach04,0,0,0,1,0,0,4,4
11,2026-03-23,2026-03-29,mjuliano328,mjuliano328,0,0,0,1,0,0,28,28
12,2026-03-30,2026-04-05,devhirpara29,devhirpara29,0,0,0,1,0,0,2,2
12,2026-03-30,2026-04-05,NguyenTin2026,NguyenTin2026,0,0,0,1,0,0,2,2
12,2026-03-30,2026-04-05,bjach04,bjach04,0,0,0,1,0,0,4,4
12,2026-03-30,2026-04-05,mjuliano328,mjuliano328,0,0,0,1,0,0,28,28
13,2026-04-06,2026-04-12,nakiwem,nakiwem,0,0,0,4,0,0,4,4
13,2026-04-06,2026-04-12,modestmag-dev,modestmag-dev,0,0,0,2,0,0,10,10
13,2026-04-06,2026-04-12,bjach04,bjach04,0,0,0,1,0,0,4,4
13,2026-04-06,2026-04-12,devhirpara29,devhirpara29,0,0,0,1,0,0,2,2
14,2026-04-13,2026-04-19,devhirpara29,devhirpara29,0,0,0,2,0,0,2,2
14,2026-04-13,2026-04-19,nakiwem,nakiwem,0,0,0,1,0,0,4,4
14,2026-04-13,2026-04-19,mjuliano328,mjuliano328,0,0,0,1,0,0,28,28
14,2026-04-13,2026-04-19,modestmag-dev,modestmag-dev,0,0,0,1,0,0,10,10
15,2026-04-20,2026-04-26,mjuliano328,mjuliano328,0,0,0,1,0,0,28,28
16,2026-04-27,2026-05-03,mjuliano328,mjuliano328,0,0,0,2,0,0,28,28
16,2026-04-27,2026-05-03,nakiwem,nakiwem,0,0,0,1,0,0,4,4
17,2026-05-04,2026-05-10,bjach04,bjach04,0,0,0,1,0,0,4,4
17,2026-05-04,2026-05-10,pwei454,pwei454,0,0,0,1,0,0,2,2
17,2026-05-04,2026-05-10,nakiwem,nakiwem,0,0,0,2,0,0,4,4
17,2026-05-04,2026-05-10,devhirpara29,devhirpara29,0,0,0,1,0,0,2,2
18,2026-05-11,2026-05-15,nakiwem,nakiwem,0,0,0,6,0,0,4,4
18,2026-05-11,2026-05-15,bjach04,bjach04,0,0,0,2,0,0,4,4
18,2026-05-11,2026-05-15,pwei454,pwei454,0,0,0,2,0,0,2,2
18,2026-05-11,2026-05-15,devhirpara29,devhirpara29,0,0,0,2,0,0,2,2
