Week,Week Start,Week End,Name,GitHub,Commits,Added,Deleted,PRs,Items Crtd (usr prj),Items Mvd (usr prj),Items Crtd (org prj),Items Mvd (org prj)
8,2025-10-13,2025-10-19,nakiwem,nakiwem,0,0,0,1,0,0,1,1
9,2025-10-20,2025-10-26,Z-Mogambi,Z-Mogambi,0,0,0,1,2,2,1,1
9,2025-10-20,2025-10-26,alrudniy,alrudniy,0,0,0,1,0,0,30,30
10,2025-10-27,2025-11-02,Shann2023,Shann2023,0,0,0,1,4,4,1,1
10,2025-10-27,2025-11-02,Ap0ts,Ap0ts,0,0,0,1,1,1,1,1
10,2025-10-27,2025-11-02,bjach04,bjach04,0,0,0,1,4,4,1,1
10,2025-10-27,2025-11-02,Dylan-Brooks2,Dylan-Brooks2,0,0,0,1,2,2,0,0
10,2025-10-27,2025-11-02,JoshuaJucaCampoverde,JoshuaJucaCampoverde,0,0,0,1,1,1,0,0
11,2025-11-03,2025-11-09,gshen1-SGZ,gshen1-SGZ,0,0,0,1,1,1,1,1
11,2025-11-03,2025-11-09,elikhovid,elikhovid,0,0,0,1,0,0,0,0
11,2025-11-03,2025-11-09,qshao-George,qshao-George,0,0,0,1,1,1,2,2
11,2025-11-03,2025-11-09,bvek5,bvek5,0,0,0,1,4,4,1,1
11,2025-11-03,2025-11-09,Dylan-Brooks2,Dylan-Brooks2,0,0,0,1,2,2,0,0
11,2025-11-03,2025-11-09,Z-Mogambi,Z-Mogambi,0,0,0,1,2,2,1,1
12,2025-11-10,2025-11-16,GCross11,GCross11,0,0,0,2,2,2,1,1
12,2025-11-10,2025-11-16,gshen1-SGZ,gshen1-SGZ,0,0,0,1,1,1,1,1
12,2025-11-10,2025-11-16,nakiwem,nakiwem,0,0,0,1,0,0,1,1
12,2025-11-10,2025-11-16,Z-Mogambi,Z-Mogambi,0,0,0,1,2,2,1,1
12,2025-11-10,2025-11-16,Twerr123,Twerr123,0,0,0,1,0,0,0,0
12,2025-11-10,2025-11-16,bjach04,bjach04,0,0,0,1,4,4,1,1
14,2025-11-24,2025-11-30,bvek5,bvek5,0,0,0,1,4,4,1,1
14,2025-11-24,2025-11-30,gshen1-SGZ,gshen1-SGZ,0,0,0,1,1,1,1,1
14,2025-11-24,2025-11-30,bjach04,bjach04,0,0,0,1,4,4,1,1
14,2025-11-24,2025-11-30,nakiwem,nakiwem,0,0,0,1,0,0,1,1
14,2025-11-24,2025-11-30,GCross11,GCross11,0,0,0,1,2,2,1,1
14,2025-11-24,2025-11-30,qshao-George,qshao-George,0,0,0,1,1,1,2,2
14,2025-11-24,2025-11-30,Shann2023,Shann2023,0,0,0,1,4,4,1,1
14,2025-11-24,2025-11-30,Dylan-Brooks2,Dylan-Brooks2,0,0,0,1,2,2,0,0
15,2025-12-01,2025-12-07,WindMan1000,WindMan1000,0,0,0,1,4,4,2,2
15,2025-12-01,2025-12-07,Twerr123,Twerr123,0,0,0,2,0,0,0,0
15,2025-12-01,2025-12-07,JoshuaJucaCampoverde,JoshuaJucaCampoverde,0,0,0,1,1,1,0,0
15,2025-12-01,2025-12-07,ayousef8,ayousef8,0,0,0,2,0,0,2,2
15,2025-12-01,2025-12-07,mjuliano328,mjuliano328,0,0,0,3,1,1,2,2
15,2025-12-01,2025-12-07,dmontes28,dmontes28,0,0,0,2,0,0,4,4
15,2025-12-01,2025-12-07,Dylan-Brooks2,Dylan-Brooks2,0,0,0,1,2,2,0,0
15,2025-12-01,2025-12-07,Ap0ts,Ap0ts,0,0,0,1,1,1,1,1
15,2025-12-01,2025-12-07,Z-Mogambi,Z-Mogambi,0,0,0,1,2,2,1,1
16,2025-12-08,2025-12-12,janelus007,janelus007,0,0,0,2,1,1,4,4
16,2025-12-08,2025-12-12,WindMan1000,WindMan1000,0,0,0,2,4,4,2,2
16,2025-12-08,2025-12-12,vlad-im,vlad-im,0,0,0,1,0,0,0,0
16,2025-12-08,2025-12-12,elikhovid,elikhovid,0,0,0,1,0,0,0,0
16,2025-12-08,2025-12-12,Twerr123,Twerr123,0,0,0,1,0,0,0,0
16,2025-12-08,2025-12-12,qshao-George,qshao-George,0,0,0,1,1,1,2,2
16,2025-12-08,2025-12-12,krodriguez2,krodriguez2,0,0,0,1,0,0,0,0
16,2025-12-08,2025-12-12,Kiprotech-Kirui,Kiprotech-Kirui,0,0,0,1,1,1,1,1
16,2025-12-08,2025-12-12,GCross11,GCross11,0,0,0,1,2,2,1,1
16,2025-12-08,2025-12-12,JoshuaJucaCampoverde,JoshuaJucaCampoverde,0,0,0,1,1,1,0,0
16,2025-12-08,2025-12-12,Dylan-Brooks2,Dylan-Brooks2,0,0,0,1,2,2,0,0
16,2025-12-08,2025-12-12,Ap0ts,Ap0ts,0,0,0,1,1,1,1,1
16,2025-12-08,2025-12-12,nakiwem,nakiwem,0,0,0,1,0,0,1,1
16,2025-12-08,2025-12-12,dmontes28,dmontes28,0,0,0,1,0,0,4,4
16,2025-12-08,2025-12-12,Shann2023,Shann2023,0,0,0,2,4,4,1,1
16,2025-12-08,2025-12-12,gshen1-SGZ,gshen1-SGZ,0,0,0,1,1,1,1,1
16,2025-12-08,2025-12-12,bjach04,bjach04,0,0,0,1,4,4,1,1
16,2025-12-08,2025-12-12,Z-Mogambi,Z-Mogambi,0,0,0,1,2,2,1,1
16,2025-12-08,2025-12-12,mjuliano328,mjuliano328,0,0,0,1,1,1,2,2
